ip_first, ip_last, as_number,
2001:460:60:3002::,2001:460:60:3002:ffff:ffff:ffff:ffff,209,
2001:460:60:3003::,2001:460:8f:ffff:ffff:ffff:ffff:ffff,3561,
2001:460:90::,2001:460:93:ffff:ffff:ffff:ffff:ffff,7991,
2001:460:94::,2001:460:ff:ffff:ffff:ffff:ffff:ffff,3561,
2001:460:100::,2001:460:103:ffff:ffff:ffff:ffff:ffff,16941,
2001:460:104::,2001:460:ffff:ffff:ffff:ffff:ffff:ffff,3561,
2001:468::,2001:468:2ff:ffff:ffff:ffff:ffff:ffff,11537,
2001:468:300::,2001:468:300:ffff:ffff:ffff:ffff:ffff,2637,
2001:468:301::,2001:468:4ff:ffff:ffff:ffff:ffff:ffff,11537,
2001:468:500::,2001:468:500:ffff:ffff:ffff:ffff:ffff,14041,
2001:468:501::,2001:468:507:ffff:ffff:ffff:ffff:ffff,11537,
2001:468:508::,2001:468:508:ffff:ffff:ffff:ffff:ffff,14041,
2001:468:509::,2001:468:5ff:ffff:ffff:ffff:ffff:ffff,11537,
2001:468:600::,2001:468:6ff:ffff:ffff:ffff:ffff:ffff,10578,
2001:468:700::,2001:468:700:ffff:ffff:ffff:ffff:ffff,20080,
2001:468:701::,2001:468:701:ffff:ffff:ffff:ffff:ffff,3681,
2001:468:702::,2001:468:912:ffff:ffff:ffff:ffff:ffff,11537,
2001:468:913::,2001:468:913:ffff:ffff:ffff:ffff:ffff,1747,
2001:468:914::,2001:468:bff:ffff:ffff:ffff:ffff:ffff,11537,
2001:468:c00::,2001:468:c06:ffff:ffff:ffff:ffff:ffff,10886,
2001:468:c07::,2001:468:c07:ffff:ffff:ffff:ffff:ffff,11537,
2001:468:c08::,2001:468:c7f:ffff:ffff:ffff:ffff:ffff,10886,
2001:468:c80::,2001:468:c80:ffff:ffff:ffff:ffff:ffff,1312,
2001:468:c81::,2001:468:cbf:ffff:ffff:ffff:ffff:ffff,40220,
2001:468:cc0::,2001:468:cc0:ffff:ffff:ffff:ffff:ffff,3140,
2001:468:cc1::,2001:468:cdf:ffff:ffff:ffff:ffff:ffff,40220,
2001:468:ce0::,2001:468:cef:ffff:ffff:ffff:ffff:ffff,1312,
2001:468:cf0::,2001:468:cff:ffff:ffff:ffff:ffff:ffff,40220,
2001:468:d00::,2001:468:d00:ffff:ffff:ffff:ffff:ffff,4600,
2001:468:d01::,2001:468:d01:ffff:ffff:ffff:ffff:ffff,3582,
2001:468:d02::,2001:468:dff:ffff:ffff:ffff:ffff:ffff,4600,
2001:468:e00::,2001:468:ea2:ffff:ffff:ffff:ffff:ffff,2153,
